Time,x,y,z
4.873,8.86223797587851e-12,1.0312287582005297e-11,5.561234529821903e-13
4.873,-9.009317688785577e-12,-1.070534799802248e-11,3.389361250085087e-12
4.874,8.908345893113362e-12,1.0276288585155248e-11,6.226279077019859e-13
4.875,-9.056455887684248e-12,-1.0669260219808294e-11,3.3189543059227224e-12
4.875,8.955868495878867e-12,1.0239587991589075e-11,6.936043962761002e-13
4.875,-9.101353014344706e-12,-1.0631105588171122e-11,3.2561763425407557e-12
4.878,9.002148721761123e-12,1.0203448370497235e-11,7.600516467545517e-13
4.879,-9.14165514564759e-12,-1.0592266334913657e-11,3.1854490851578492e-12
4.881,9.044695079205107e-12,1.0168976008966307e-11,8.222491161504667e-13
4.881,-9.175422928501301e-12,-1.0554098275457314e-11,3.1310357779655277e-12
4.882,9.081450791400701e-12,1.0137088724403217e-11,8.761430887674291e-13
4.883,-9.201241738548e-12,-1.0517742580979152e-11,3.078933566532207e-12
4.884,9.112087575364692e-12,1.0105836284841212e-11,9.21806714424962e-13
4.885,-9.233902515680809e-12,-1.0481602072955669e-11,3.1861157185757075e-12
4.886,9.142789429000301e-12,1.007425254540682e-11,9.873494800832696e-13
4.8870000000000005,-9.236011907639478e-12,-1.0445855236036367e-11,2.9882100683749637e-12
4.888,9.15719488781414e-12,1.0063438316683522e-11,9.972310339913242e-13
4.889,-9.236710109435859e-12,-1.0427402918286372e-11,2.968478296603009e-12
4.89,9.15967883163423e-12,1.0049202115686584e-11,1.0120765338203459e-12
4.891,-9.226120895589308e-12,-1.0408151041080263e-11,2.9636791771676394e-12
4.892,9.153381933517435e-12,1.0040930267983544e-11,1.0168652726700315e-12
4.893,-9.209325085701422e-12,-1.0391115066297899e-11,2.9567199245485693e-12
4.895,9.137032561281304e-12,1.0024832620219214e-11,1.1555243985175698e-12
4.897,-9.189405516716356e-12,-1.0380186054271641e-11,2.9649871170343147e-12
4.897,9.1287449131568e-12,1.0043413443329696e-11,9.90168572264316e-13
