Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position_controller_output.thrust.num,position_controller_output.orientation_set_point.w,position_controller_output.orientation_set_point.x,position_controller_output.orientation_set_point.y,position_controller_output.orientation_set_point.z,position_controller_output.euler_set_point.phi,position_controller_output.euler_set_point.theta,position_controller_output.euler_set_point.psi
12.074,415,12,72000000,,17.58367193775488,0.9766712245212326,-0.0003653615103768093,0.0013794333476213135,0.21473537870319007,-0.00012125035608691407,0.0028514216620846647,0.4328420348766375
12.082,416,12,82000000,,17.626051470323986,0.9765388763563676,-0.00035799567072429864,0.0014252507163854966,0.2153361638558148,-8.53777049996376e-05,0.002937808520930021,0.43407246379975956
12.092,417,12,92000000,,17.676563923718064,0.9764065097295318,-0.0003506386908725819,0.001471878242616399,0.2159352643380444,-4.907119052161828e-05,0.0030257381288572487,0.43529961424654795
12.103,418,12,102000000,,17.726996856463618,0.9762741313574159,-0.00034313897814662505,0.0015189939557672743,0.21653266579277802,-1.2171853554131691e-05,0.0031145156399976946,0.4365234561474732
12.112,419,12,112000000,,17.78558846837819,0.9761417468518467,-0.0003356529310553313,0.001566949990722129,0.2171283538782112,2.5168996539769484e-05,0.003204895625569335,0.43774395943300554
12.124,420,12,122000000,,17.84410474870484,0.97600936303903,-0.00032802346910809887,0.0016154037372742133,0.21772231427099084,6.311126890968206e-05,0.0032961403715002263,0.43896109403361566
12.133,421,12,133000000,,17.881928107488275,0.9758769878232246,-0.00031985211480922807,0.0016634686299068524,0.21831453273616883,0.00010204670189912387,0.003386344713814326,0.4401748298797731
12.14,422,12,142000000,,17.890623164253114,0.9757446285378176,-0.0003109226349780743,0.0017106516238486252,0.21890499509543643,0.00014217904737281797,0.00347445029278621,0.44138513690194886
12.153,423,12,153000000,,17.878161953605506,0.9756122914504788,-0.00030131373116013194,0.001757061295268874,0.21949368719028342,0.0001833981288728095,0.003560701640810821,0.4425919850306127
12.162,424,12,162000000,,17.894578781583203,0.9754799781886282,-0.0002921561494568154,0.0018051980861058384,0.22008059445977482,0.00022459468557174328,0.0036504730850836,0.4437953441962356
12.172,425,12,172000000,,17.89397432779468,0.9753476998603066,-0.0002824160461614439,0.001852588204907869,0.2206657031242717,0.0002666995425070056,0.0037384830680164635,0.4449951843292876
12.182,426,12,182000000,,17.909887795890214,0.9752154589170288,-0.0002728583552042425,0.0019013113144408737,0.22124899830926345,0.0003091373466460885,0.003829125004876527,0.4461914753602387
12.194,427,12,193000000,,17.934016931567427,0.9750832624571505,-0.00026331754757673493,0.0019509977729669547,0.2218304657784375,0.0003520711372306968,0.003921604307180535,0.4473841872195595
12.204,428,12,204000000,,17.98339341096793,0.9749511142971486,-0.0002542831766721615,0.00200289330495073,0.2224100907990086,0.00039510323125571114,0.004018567223670931,0.44857328983772043
12.212,429,12,212000000,,17.97739767461457,0.9748190327370522,-0.00024358177466930978,0.0020512890187679806,0.22298786131733345,0.00043993252863387493,0.004107914265729334,0.4497587531451915
12.223,430,12,223000000,,18.013715579705355,0.9746870097837643,-0.0002338782094316041,0.0021031617104238396,0.22356376041431059,0.00048446967727044764,0.004204434568351684,0.4509405470724432
12.232,431,12,232000000,,18.0156007824143,0.9745550642495279,-0.00022304619185147358,0.0021527074104597207,0.2241377764831262,0.0005302694308933021,0.004295863185357657,0.45211864154994574
12.243,432,12,243000000,,18.03437492966888,0.9744231941228154,-0.0002124873044452678,0.0022039642745133536,0.22470989329825297,0.0005764056260501135,0.004390697922691865,0.4532930065081697
12.252,433,12,252000000,,18.05725676263111,0.97429140793647,-0.00020184862485818903,0.0022560053100054833,0.22528009703110624,0.0006231537417496797,0.004486973191151942,0.4544636118775852
12.262,434,12,262000000,,18.097247510506968,0.9741597094943074,-0.00019156577831438504,0.0023100282701800376,0.2258483727413373,0.000670208027322053,0.004587218663613497,0.4556304275886624
12.272,435,12,272000000,,18.132790355087742,0.9740281096266669,-0.00018097704540979292,0.002364151707041818,0.22641470732069718,0.0007180119246609309,0.004687469331479549,0.456793423571872
12.282,436,12,282000000,,18.163868183325974,0.97389661509337,-0.00017008152415562373,0.0024183462089737455,0.22697908666563313,0.0007665532466034809,0.004787666562372511,0.4579525697576839
12.292,437,12,292000000,,18.186120843791958,0.9737652337216393,-0.0001587430964499647,0.002472149232618793,0.2275414970370066,0.0008158858904391326,0.004886846684874039,0.45910783607656874
12.302,438,12,302000000,,18.242957223411892,0.9736339619492411,-0.00014836128086476164,0.002529775674544296,0.2281019209980276,0.0008652051151567618,0.004993854768619144,0.4602591924589967
12.314,439,12,314000000,,18.251862125115135,0.973502826225508,-0.00013627579227592536,0.002583162753377547,0.22866035080452132,0.0009160160673678701,0.005091776224656612,0.46140660883543816
12.321,440,12,323000000,,18.277978463809553,0.9733718176853181,-0.00012456570584473573,0.00263868558171531,0.22921676718286915,0.0009671776589706959,0.005193972811981707,0.46255005513636327
12.333,441,12,333000000,,18.295200464029943,0.9732409496524199,-0.00011235478107476764,0.0026937277995187528,0.22977115816960378,0.0010191998287218727,0.005294948921688235,0.46368950129224246
12.342,442,12,342000000,,18.320987069593272,0.973110224156547,-0.00010023204327442583,0.0027501444136472587,0.2303235079214373,0.0010717879887258601,0.005398585108618592,0.464824917233546
12.352,443,12,352000000,,18.359750600894913,0.9729796464251441,-8.839309975972509e-05,0.0028084701450725846,0.23087380172835914,0.00112481227210208,0.005506011699623633,0.46595627289074437
12.367,444,12,361000000,,18.41151703080734,0.9728492229283987,-7.685711645114078e-05,0.002868756820209089,0.23142202525883507,0.0011782651169389305,0.005617338087701782,0.4670835381943077
12.372,445,12,372000000,,18.46753837075559,0.9727189629235422,-6.530851307980524e-05,0.002930055060675442,0.23196816523197356,0.0012323258809731924,0.005730570596500588,0.4682066830747065
12.382,446,12,382000000,,18.418152427694533,0.972588908864129,-4.97972145591482e-05,0.0029796710601046605,0.23251222211981493,0.0012887776191386972,0.005819179814551003,0.46932567746241094
12.392,447,12,392000000,,18.301400979079997,0.9724590622146855,-3.125353933654913e-05,0.0030199415987898948,0.2330541810234063,0.0013468582120348997,0.005888140710011031,0.4704404912878911
12.402,448,12,402000000,,18.316945105763413,0.9723293551203852,-1.7600061164209217e-05,0.0030773497412748003,0.23359399559916763,0.0014035003934647927,0.005992653383905853,0.4715510944816178
12.412,449,12,412000000,,18.350140434086168,0.9721998339565501,-4.493436156652298e-06,0.00313764494754219,0.23413166812468741,0.001460534774282543,0.00610297779096115,0.4726574569740611
12.422,450,12,422000000,,18.324898605812447,0.9720705373204637,1.1197835213666574e-05,0.0031899817841855986,0.23466719916581913,0.0015189680989285165,0.006196558739891834,0.4737595486956912
12.432,451,12,432000000,,18.31262207831275,0.9719414433144571,2.674266529664401e-05,0.003244402983953175,0.2352005610153125,0.0015781873298923957,0.006294201217519457,0.47485733957697845
12.442,452,12,442000000,,18.345161343081223,0.9718125432406082,4.04913697298029e-05,0.0033059704311371005,0.23573173252699373,0.0016373786502117981,0.006406520687902126,0.47595079954839353
12.452,453,12,452000000,,18.37300626775252,0.9716838658987449,5.4607639963285626e-05,0.0033673095443666648,0.23626070980276875,0.0016972854821646539,0.006518163587453418,0.47703989854040635
12.46,454,12,462000000,,18.396136022459135,0.9715554185116794,6.908155590832873e-05,0.0034283758624146414,0.23678747903400654,0.001757865604436024,0.006629047548042046,0.4781246064834873
12.48,455,12,467000000,,18.396348577758783,0.9714272177687907,8.472601480478384e-05,0.003486142740315877,0.23731203131801634,0.0018192597827242079,0.006732905749836433,0.47920489330810667
12.485,456,12,483000000,,18.45091351597237,0.971299230526731,9.817728267010148e-05,0.003553303628521957,0.23783433135845883,0.001880959539325919,0.006855996014190662,0.48028072894473506
12.491,457,12,492000000,,18.400399766373017,0.9711715490315673,0.00011674420628216518,0.003603337274297313,0.23835440982474837,0.0019445480604314356,0.006943320081035297,0.48135208332384255
12.507,458,12,502000000,,18.33554798095055,0.9710441355435266,0.00013624298679206415,0.003650429159647291,0.23887223076641662,0.002008619125493347,0.00702442409002723,0.4824189263758993
12.512,459,12,512000000,,18.237992546233148,0.9709170111459983,0.00015799140589786058,0.003690485736913043,0.23938778753533485,0.002073761137006749,0.007090727754788222,0.483481228031376
12.522,460,12,522000000,,18.204453655928273,0.9707901206614529,0.0001766390789477029,0.00374232361695056,0.23990103259199108,0.0021385903205948503,0.007181331521643411,0.4845389582207427
12.532,461,12,532000000,,18.161353741271856,0.9706635174986901,0.00019614212662115785,0.0037919208835065915,0.24041197695071165,0.002204082389277635,0.007267112656530208,0.4855920868744698
12.543,462,12,542000000,,18.12716625000188,0.9705371963033683,0.00021560212392845264,0.003843044103919474,0.24092059920093362,0.002270300108962741,0.007355814848578379,0.48664058392302767
12.552,463,12,551000000,,18.162211799924794,0.9704111153816114,0.00023129498242494624,0.003909821817052177,0.24142685629359217,0.002336841865356814,0.007476657117719209,0.4876844192968866
12.563,464,12,562000000,,18.0819025818786,0.9702854270187582,0.0002535849724467471,0.003950012976328865,0.24193082318541914,0.0024034300694484386,0.007542651531376426,0.4887235629265166
12.572,465,12,572000000,,18.135122138365283,0.9701599363814636,0.00026863242369025073,0.004022041297944028,0.24243235935149593,0.0024714540381072514,0.00767387159158722,0.4897579847423885
12.583,466,12,582000000,,18.128453340628045,0.970034810131104,0.0002874502858120461,0.0040799746442022,0.24293155067456534,0.0025400622228014063,0.007775851730753114,0.49078765467497226
12.593,467,12,591000000,,18.08964516134501,0.9699100351005104,0.0003080986365420515,0.004129909079813194,0.24342837290987535,0.0026084135725425407,0.00786136159464116,0.4918125426547383
12.603,468,12,602000000,,18.137806333072636,0.9697855086120056,0.00032395695349576046,0.004202394807050415,0.24392273821013877,0.002678545578053204,0.007992887342028597,0.492832618612157
12.612,469,12,612000000,,18.16291625154411,0.9696613378900243,0.00034129251577684895,0.004269465238341019,0.2444146987955623,0.0027490103710052925,0.008113125939781531,0.4938478524776987
12.621,470,12,622000000,,18.10564385663287,0.9695375922017038,0.0003639230438793658,0.004314751602817338,0.24490428290731583,0.0028191746857550745,0.008188466642852018,0.4948582141818335
12.632,471,12,632000000,,18.135072771605966,0.9694141097593951,0.000381505016004756,0.004383789147335061,0.24539136220746205,0.002891264583768951,0.008312273757038352,0.49586367365503203
12.642,472,12,642000000,,18.173466790117576,0.9692909737058527,0.0003986989363190777,0.004455871940616506,0.2458759738908364,0.0029642042346326013,0.008442112202366181,0.49686420082776406
12.654,473,12,654000000,,18.18889984338153,0.969168225313151,0.0004174166027885813,0.0045221181392713266,0.24635812804588272,0.0030373308781857333,0.008559823007766889,0.49785976563050066
12.667,474,12,663000000,,18.213302964870483,0.9690458381430532,0.000435749995496833,0.004591358927167282,0.24683778706423953,0.0031112875118009184,0.008683464515873254,0.4988503379937116
12.673,475,12,672000000,,18.25576364465114,0.968923808428737,0.0004532197514441976,0.004666283267482832,0.2473149284864875,0.0031864831313300032,0.008818484184073582,0.4998358878478673
12.683,476,12,682000000,,18.298052480192087,0.9688021633147913,0.0004708882917132868,0.004741750020151215,0.24778955270056027,0.0032624440038735505,0.008954392618255418,0.5008163851234381
12.693,477,12,692000000,,18.32195520879211,0.9686809316132748,0.0004898391171212176,0.004812492253481,0.24826166176997114,0.0033386541176411064,0.009080447199341155,0.5017917997508945
12.702,478,12,702000000,,18.34568206587379,0.9685600999895132,0.0005090480887269652,0.004883701188166529,0.24873122650976578,0.003415696727888553,0.009207213997653714,0.5027621016607066
12.713000000000001,479,12,712000000,,18.378337172950506,0.9684396644379017,0.0005279322284942711,0.004958071597431305,0.24919822462650285,0.0034937858039996716,0.009340202645020567,0.5037272607833445
12.723,480,12,722000000,,18.397155187198102,0.9683196604750767,0.000547931466952558,0.0050288677396771375,0.2496626632033645,0.0035723542851331218,0.009465648296609766,0.5046872470492789
12.733,481,12,732000000,,18.424896855363844,0.9682000668825577,0.0005675493572439324,0.005102865299930406,0.2501245072800124,0.003651882292715349,0.009597420379179596,0.5056420303889804
12.744,482,12,742000000,,18.4752197909458,0.9680808721628337,0.0005858769953350344,0.005184274358472396,0.2505837285219646,0.0037327280959559336,0.009744125397841637,0.5065915807329187
12.752,483,12,752000000,,18.38858348376396,0.9679622977704913,0.0006128467032888401,0.005224206659456153,0.25104047916335764,0.0038095920706054795,0.009806128663195735,0.5075358680115641
12.763,484,12,762000000,,18.347069841496108,0.9678441136818126,0.0006374670957853771,0.005277362940335334,0.2514945619443181,0.0038885938748168744,0.009894851762666643,0.5084748621553874
12.774000000000001,485,12,772000000,,18.341806365029676,0.9677263318303075,0.0006599402579096877,0.005342423295137079,0.251945965783239,0.0039694963238024236,0.010007635873614423,0.5094085330948586
12.782,486,12,782000000,,18.32702855454683,0.9676090238547322,0.0006829885269002739,0.005404769520429975,0.25239472844731803,0.004050220653622199,0.010114814584764681,0.5103368507604481
12.792,487,12,792000000,,18.33956272851143,0.967492142303236,0.0007045469038676382,0.005476582828167089,0.2528407902923926,0.0041329227374445375,0.01024100432259763,0.5112597850826263
12.806000000000001,488,12,802000000,,18.356464429275064,0.967375727919674,0.0007260981686100659,0.005550319358156691,0.2532841640694361,0.004216674741137225,0.01037085602786965,0.5121773059918633
12.812,489,12,812000000,,18.354685748748974,0.9672598249350246,0.0007491699811738221,0.005618008660568837,0.25372486632116814,0.004300390819699101,0.010488174325646242,0.5130893834186294
12.822,490,12,822000000,,18.375784897804483,0.9671443735050348,0.0007709350171373765,0.005694150261892975,0.2541628279460787,0.004385955101160686,0.010622444492270419,0.5139959872933951
12.832,491,12,832000000,,18.382823635286886,0.9670294411186902,0.0007937877518495162,0.005765836740190887,0.2545980852979148,0.0044714473820845445,0.010747480980155363,0.514897087546631
12.845,492,12,845000000,,18.398900033920487,0.9669149965727932,0.0008161740562549987,0.00584125405580794,0.25503059230923775,0.004558024384119144,0.010879908230259782,0.5157926541088066
12.852,493,12,852000000,,18.225137012711002,0.9668014080928239,0.0008515010864583667,0.005845528140742853,0.2554606467861313,0.00463335990824677,0.010868093585506718,0.5166826569103928
12.863,494,12,863000000,,18.240737517872418,0.9666879997757699,0.000874290361613902,0.0059210955248018525,0.25588764591842045,0.00472090556379189,0.011000485635112009,0.51756706588186
12.873,495,12,873000000,,18.256141818670923,0.9665751172673394,0.0008972688186486585,0.005997059097622786,0.25631186642540754,0.00480910683600639,0.011133484916043369,0.5184458509536785
12.883,496,12,883000000,,18.294501782504497,0.9664627224144916,0.0009189640932100586,0.0060826203883698055,0.25673325343121334,0.004899842559263101,0.011285634002319134,0.519318982056318
12.892,497,12,892000000,,18.33728635254292,0.9663508570637207,0.0009405680246535107,0.006170577777591476,0.2571518235476739,0.004991735594630878,0.01144239837015785,0.5201864291202497
12.903,498,12,903000000,,18.365992479577034,0.9662395660314784,0.0009633026910085053,0.006253495914015011,0.25756759670439733,0.005083321406865363,0.011588778631579028,0.521048162075943
12.914,499,12,912000000,,18.39912342224951,0.9661288196178494,0.0009859548042340791,0.006338782797126149,0.25798052567896657,0.0051760635305720575,0.011739716867119932,0.521904150853869
12.924,500,12,922000000,,18.381261419945236,0.9660187447601857,0.0010123765226257417,0.006403371918618468,0.25839070550970616,0.005265486908256927,0.011848654476298648,0.5227543653844975
12.933,501,12,933000000,,18.4093890573265,0.9659091403048028,0.0010357920746821951,0.006487658848972797,0.2587979329381792,0.005359358803800269,0.011997144059391406,0.5235987755982988
12.944,502,12,943000000,,18.39582047188054,0.9658002032935621,0.001062122600146533,0.006555074551637517,0.25920237308195915,0.00545020492034223,0.012111471370781052,0.5244373589057254
12.953,503,12,952000000,,18.39586914054094,0.965691814619502,0.0010875457085342236,0.006628870719369569,0.259603918487782,0.005542673073223842,0.012238535648728338,0.5252701226371618
12.962,504,12,962000000,,18.432591768526787,0.9655839227001156,0.0011108612295785468,0.006718729852714609,0.2600025247561108,0.005639496222893221,0.01239765919310358,0.526097081602972
12.972,505,12,972000000,,18.432177474735877,0.9654766969811378,0.001136682875372421,0.006793382356771706,0.2603983592394309,0.005733334082326271,0.012526051564633503,0.5269182506135216
12.982,506,12,982000000,,18.399140352262304,0.9653701335540164,0.0011648159480103315,0.006854245372014418,0.26079142579097186,0.005824511125598787,0.012626555022364629,0.527733644479176
12.992,507,12,992000000,,18.370416272866805,0.9652641458020248,0.0011926257426229916,0.006917535932087483,0.26118164975655156,0.005916378660947508,0.01273185887717015,0.5285432780103004
13.002,508,13,2000000,,18.392348905250053,0.9651586219920948,0.0012175232657521253,0.007003478906648101,0.26156892650814256,0.00601452639679014,0.01288235990694502,0.529347166017261
13.013,509,13,11000000,,18.344528791661077,0.9650538603477107,0.0012467441491669725,0.007058811303686204,0.2619535558834557,0.006105063479251442,0.012971451826453831,0.530145323310422
13.023,510,13,22000000,,18.37526090579277,0.9649494912042877,0.0012715757344026117,0.007149617673071636,0.26233517775332105,0.006205780014697067,0.01313125914642491,0.5309377647001491
13.033,511,13,31000000,,18.41040779190167,0.9648456983652665,0.0012963392325720583,0.007243089473689844,0.2627139804150354,0.006307855793612311,0.013296186329114673,0.5317245049968078
13.042,512,13,42000000,,18.28751538378083,0.9647429223116535,0.0013309554063495525,0.007263340382775168,0.26309041467480615,0.006390500014800736,0.013314582627559957,0.5325055590107644
13.052,513,13,52000000,,18.229346459663446,0.9646405856071802,0.0013625786048098484,0.007311237783209127,0.2634639060309007,0.006481918044201905,0.01338785275457965,0.5332809415523825
13.062,514,13,62000000,,18.20810064482766,0.9645387427583706,0.001392015819262627,0.007377261697956806,0.2638345163542874,0.0065787055963104,0.01349719560869826,0.5340506674320284
13.072,515,13,72000000,,18.228438604519326,0.9644373700955936,0.0014186175326250923,0.0074652414269820834,0.26420222720073344,0.006681674554211747,0.013650335705617038,0.5348147514600676
13.082,516,13,82000000,,18.253199899685786,0.9643365782205939,0.0014450897344558905,0.007556146566332592,0.2645671564471366,0.006786021288608776,0.01380912936259761,0.5355732084468651
13.094,517,13,93000000,,18.23610156516472,0.9642365153056358,0.001474566062554137,0.007625420851924673,0.26492946450518234,0.006884780039410234,0.013924556440610272,0.536326053202787
13.102,518,13,102000000,,18.2604530910696,0.9641369189778806,0.001501451586603096,0.007717133941760071,0.26528888584088467,0.006990499832188165,0.014084576314154587,0.5370733005381974
13.114,519,13,113000000,,18.23382160042311,0.9640380917480528,0.0015320301270475584,0.007781373739016449,0.26564574298338844,0.007088821418225725,0.014189602980747517,0.537814965263463
13.122,520,13,119000000,,18.243927092212854,0.9639397418476982,0.0015602688529944633,0.007866353026158315,0.2659997371009366,0.0071937072193012565,0.014335809434528599,0.5385510621889478
13.132,521,13,132000000,,18.18933783353443,0.9638422137658345,0.00159286609935397,0.007916218267061464,0.26635124033672797,0.0072883537004327665,0.01441194585424233,0.5392816061250183
